name,category,address,lat,lng,phone,opening_hours
"Rathi Hospital, Amravati",hospital,"Behind Kushal Auto, Badnera Road",20.9191342,77.753277,,
Yash Netralaya and Child Hospital,hospital,"Vijay Colony, Near Rajurkar Furniture,Rukhamini Nagar",20.9257671,77.7653664,,
Dr Murkey Hospital,hospital,Matrumangalya Maternity Hospital Walcut Compound,20.9336511,77.7569778,,
Khatri Hospital,hospital,"Samarth High School Road, Behind Shivaji Market",20.9171386,77.7495582,,
Dr. Sawai Maternity and Children Hospital,hospital,"Near Prashant Nagar Bridge, Narayan Nagar",20.9227632,77.76576,,
Bakhtar Hospital,hospital,"Near Ice Factory, Rajapeth",20.9204733,77.7577128,,
"Suyash Hospital, Amravati",hospital,"Vijay Colony , Congress Nagar Road",20.9273398,77.7661349,,
Shri Amba Maternity and Surgical Hospital,hospital,"Mudholkar Peth,Badnera Road",20.9243548,77.7526809,,
Dayasagar Hospital,hospital,Amravati (Camp),20.9363651,77.7707423,,
Chaudhary Hospital,hospital,"Rathi Nagar , Near Garden",20.9515729,77.7619976,,
Arihant Hospital,hospital,"Nawathe Bridge, Badnera Road",20.9109613,77.7523389,,
Sanjeevan Hospital,hospital,Kalyan Nagar,20.9195676,77.7526796,,
Sushrusha Orthopaedic and Spine Care Hospital,hospital,"Rukhmini Nagar, Bahk Of Maharashtra Lane",20.9251345,77.7642533,,
Jamthe Hospital,hospital,Vijaya Colony,20.9272371,77.7672581,,
Dr. Sudha Deshmukh Hospital,hospital,Camp Road,20.9348674,77.7643519,,
Vyws Dental College and Hospital,hospital,Tapovan Road,20.934112,77.7924272,,
Parashree Speciality Hospital,hospital,"Khaparde Bagicha, Masjid-Irwin Road, Khaparde Baghicha",20.9301125,77.7622309,,
Totey Eye Hospital,hospital,"Rathi Nagar, Gadge Baba Marg",20.9484597,77.764201,,
Vyawahare Netralaya - Amravati,hospital,V.M.V. Road Rathi Nagar,20.9471496,77.7647804,,
Jawarkar Hospital,hospital,"V.M.V Road , Rathi Nagar",20.9494328,77.7635211,,
Sankalp Chaudhari Maternity Hospital,hospital,"Aadarsh primary school, chaudhari hospital, Khaparde Bagicha",20.9315098,77.7621015,,
Kusumanjali Hospital,hospital,"Near Hotel Tourist,Railway Station,Square",20.9274256,77.7631241,,
Drishti Sagane Eye Hospital,hospital,"Vijay Colony, Rakhmini Nagar",20.9253625,77.7653892,,
Netra Jyot Laser and Phaco Surgery Centre,hospital,"Tajul Towers,Near Rajapeth Police Station",20.9244468,77.7536284,,
Navjeevan Hospital - Amravati,hospital,"Girls High School Square, Camp Road",20.9364957,77.7712136,,
"District Women Hospital, Amravati",hospital,Dufferin Aria Women Hospital,20.936777,77.760534,,
Potode Hospital,hospital,"Mudholkar Peth, Amravati",20.9242932,77.753082,,
Dr. Kiran Pande Hospital,hospital,"Amravati Old Bypass Road, Jalaram Nagar, Dastur Nagar, Amravati",20.9117066,77.7689383,,
Dr. Hedgewar Hospital,hospital,"Vasudev-Saraswati Sankul, Mudholkar Peth Corner, Badnera Road, Amravati",20.924695,77.7530514,,
Dr. Fazal Ansari Hospital,hospital,"Valgaon Road, Zakir Colony, Amravati",20.9420959,77.7433082,,
Dr. Pratibha Vinay Kale Children's Hospital,hospital,"Chaman Shah Wali, Amravati",20.9394229,77.780586,,
Varhade Hospital and Clinic,hospital,"Rathi Nagar, Gade Nagar, Amravati",20.9504696,77.7627956,,
Dr. Boob Hospital,hospital,"Guruchhaya, Deorankar Nagar, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9180389,77.7529268,,
Dr. Omprakash Deshmukh Hospital,hospital,"Shegaon - Rahatgaon Road, Om Shivniketan Colony, Gade Nagar, Amravati",20.9580741,77.7664852,,
Radhey Hospital,hospital,"Dr L D Ratnaparkhi, Nilkanth Square, Bhaji Bazar Road, Budhwara, Juni Taksal, Amravati",20.930882,77.743854,,
Kawalkar Hospital,hospital,"Near Sudarshan Building, Towards Old Bypass, Shankar Nagar Road, Ekvira Nagar, Amravati",20.9083651,77.7631276,,
Ambadekar Hospital,hospital,"Shankar Nagar Road, Gopal Nagar, Amravati",20.9125835,77.757885,,
Shrikrushna Hospital,hospital,"Deorankar Nagar, Badnera Road, Amravati",20.918361,77.7528709,,
Roopbhajan Hospital,hospital,"Rajapeth - Irwin Square Flyover, Rajapeth, Daroga, Amravati",20.921417,77.758683,,
Bardiya Children Hospital,hospital,"Yashoda Nagar, Amravati Old Bypass Road, Shanti Nagar, Dastur Nagar, Amravati",20.915458,77.773251,,
Bhuyar Hospital,hospital,"Shegaon - Rahatgaon Road, Rathi Nagar, Appu colony, Siddhivinayak Nagar, Amravati",20.9530415,77.7626258,,
"Priyal Child Care, Heda Hospital",hospital,"Maltekdi, Amravati",20.930057,77.7634754,,
Ratanshree Hospital,hospital,"State Highway 242, Subodh Colony, Opp Meghe Complex, Navsaari, Amravati",20.9612867,77.7514507,,
Apex Hospital,hospital,"Morshi Road, Arjun Nagar, Amravati",20.954898,77.776916,,
Dr. Jaiswal Hospital,hospital,"Tarangan Nagar, Siddhivinayak Nagar, Amravati",20.9529805,77.7620779,,
Daffodils Hospital,hospital,"Mudholkar Peth, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9246489,77.752747,,
Deshmukh Maternity and Children Hospital,hospital,"Madhokar Peth, Amravati",20.9233484,77.7517139,,
Sewani Maternity Hospital,hospital,"Dastur Nagar Road, Daulat Deep Nagar, Bapu Colony, Amravati",20.9157027,77.7608265,,
Dr. Neeta Laddha Hospital,hospital,"Rajkamal Chowk, Badnera Road, Amravati",20.9271261,77.7538375,,
Rajendra Baitule Accident Hospital,hospital,"Swami Vivekanand Road, Near Ahilya Mangal Karyalay, Vivekanand Colony, Amravati",20.922911,77.761758,,
Siddhi Hospital,hospital,"Gopal Nagar, Amravati",20.8984248,77.7534496,,
Daphale Hospital,hospital,"Swami Vivekanand Road, Gandhi Nagar, Vivekanand Colony, Amravati",20.925021,77.761911,,
Bajaj Children's Hospital,hospital,"Kawar Nagar, Chowk, Chhatri Nagar Road, Amravati",20.9151455,77.7623424,,
Matruchhaya Hospital,hospital,"Dande Plot 50, Dastur Nagar Road, Rajapeth, Amravati",20.92013,77.757992,,
Maharaj Roopbhajan Charitable Hospital,hospital,"Rajapeth, Kanwar Nagar, Guruchhaya Colony, Vivekanand Colony, Amravati",20.9217644,77.7587316,,
Yashwant Hospital,hospital,"Gawande complex, Sai Nagar Road, Near Benam Square, Sai Nagar, Amravati",20.8959738,77.7463659,,
Dr. Sikchi Hospital,hospital,"Sarafa, Patvipura, Kanwar Nagar, Om Shivniketan Colony, Amravati",20.9326357,77.7470778,,
Icchamani Hospital,hospital,"Kathora Road, Siddhivinayak Nagar, Amravati",20.961272,77.757587,,
Medicare Hospital,hospital,"Saraswati Nagar Square, Near NCC Ground, Shegao Naka, Amravati",20.9504302,77.755189,,
Parijat Hospital,hospital,"Radha Nagar, Lane No. 1, Near Pragati School Panchavati Square, Amravati",20.9450929,77.7703115,,
Vyankatesh Hospital,hospital,"Ramnagar, Wadali Naka, Amravati",20.9215487,77.7674298,,
Kohinoor Hospital,hospital,"Habib Nagar, Hazrat Bilal Nagar, Amravati",20.9421619,77.7433076,,
Tirupati Hospital,hospital,Amravati,20.9283848,77.7472087,,
Vanita Samaj Hospital,hospital,"Gopal Nagar, Amravati",20.9023247,77.7524319,,
Kavimandan Hospital,hospital,"Badnera Road, Near Samarth High School, Deorankar Nagar, Amravati",20.917276,77.751007,,
Harwani Hospital,hospital,"Raghunandan Arcade, Dastur Nagar Road, Rajapeth, Vivekanand Colony, Amravat",20.9207118,77.7586626,,
Bari Hospital,hospital,"Habib Nagar Road, Habib Nagar, Amravati",20.941443,77.7465598,,
Chintamani Hospital,hospital,"Bhau Colony, Radha Nagar, Amravati",20.944636,77.769146,,
Dr. Baheti Multispeciality Hospital,hospital,"Amba Peth, Kanwar Nagar, Guruchhaya Colony, Amravati",20.92674,77.7552879,,
Saisharan Asha Hospital,hospital,"Mankana Nagar, Dastur Nagar, Amravati",20.9111329,77.7697502,,
Dr. Patankar Hospital,hospital,"Shrikrishna Peth, Amravati",20.9348373,77.7592194,,
LifeLine Hospital Amravati,hospital,"Devrao Rambhajirao Deshmukh Marg, Vivekanand Colony, Amravati",20.926598,77.766317,,
Dr. Vyavhare Hospital,hospital,"Gade Nagar, Amravati",20.9475888,77.7645283,,
Dr. Patil Hospital,hospital,"State Highway 199, Sharda Nagar, Amravati",20.9198045,77.754111,,
Rahat Hospital,hospital,"Madhyut Chowk, Chaprasi Pura, Shkrwar Bazar, Amravati",20.9297669,77.7806732,,
Ingole Hospital and Breast Cancer Centre,hospital,"Shyam Nagar, Amravati",20.9264304,77.7702315,,
Agrawal Children Hospital,hospital,"Pannalal Nagar, Amravati",20.9232307,77.748454,,
Hope Hospital,hospital,"Badnera Road, Mudholkar Peth, Next to Palika Restaurant, Amravati",20.925376,77.7531527,,
Anand Hospital,hospital,"Sharda Vihar, Amravati",20.9115783,77.7524418,,
Dr. Kishor Bele Hospital,hospital,"Khaparde Bagicha, Maltekdi, Amravati",20.9325464,77.7624256,,
Astha Hospital,hospital,"Shrikrushana Mandir Road, Matakhidki, Amravati",20.929376,77.7430202,,
Raadhey Health Care & Wellness Centre,hospital,"Near Tukdoji Maharaj Mandir, Gade Nagar, Amravati",20.9475443,77.7691466,,
Sun Optical and Eye Care Hospital,hospital,"Shyam Squre, Amravati",20.930258,77.752508,,
Medi-tech Hospital,hospital,"Raghunandan Arcade, Dastur Nagar Road, Rajapeth, Vivekanand Colony, Amravati",20.9219777,77.7565819,,
SRPF Hospital,hospital,"SRPF Colony, Amravati",20.9260373,77.8024534,,
Masanganj Municipal Hospital,hospital,"Masan Gunj, Kanwar Nagar, Om Shivniketan Colony, Amravati",20.9365458,77.7499787,,
Burhani Hospital,hospital,"Auto Galli, Amba Peth, Amravati",20.9277362,77.7553863,,
Sarda Hospital,hospital,"Diparchan Road, Patvipura, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9232021,77.7527161,,
Dr. Kela Hospital,hospital,"Shilangan Road, Ravi Nagar, Amravati",20.917431,77.7488612,,
Chandsi Piles Hospital,hospital,"Amba Gate, Near Ambadevi Temple, Amravati",20.9281383,77.748157,,
Adatiya Hospital,hospital,"Bapu Colony, Amravati",20.9109958,77.7632426,,
Sonone Hospital,hospital,"Behind Venus Plaza, Rathinagar, Shegaon Naka Road, Appu Colony, Amravati",20.9525293,77.7629509,,
Phoenix Hospital,hospital,"112, Raghunandan Arcade, Dastur Nagar Road, Rajapeth, Vivekanand Colony, Amravati",20.920879,77.7560216,,
Radiant Hospital,hospital,"Gokul Market, Kanwar Nagar, Guruchhaya Colony, Dastur Nagar, Amravati",20.9163045,77.7621087,,
Dr. Pandharikar Hospital,hospital,"Shankar Nagar Road, Rajapeth, Chatrapati Sahu Nagar, Amravati",20.9191374,77.7555824,,
Kabra Hospital,hospital,"Dastur, Amravati",20.918229,77.7646069,,
Dr. Dankhade Hospital,hospital,"Shrikrishna Peth, Kanwar Nagar, Om Shivniketan Colony, Arjun Nagar, Amravati",20.9345013,77.7598403,,
Kadu Hospital,hospital,"Madhokar Peth, Amravati",20.9234185,77.7519785,,
Parvani Hospital,hospital,"Madhokar Peth, Amravati",20.9240666,77.7515875,,
Dr. Kadu Madam Hospital,hospital,"Vidhya Vihar Colony, Sharda Vihar, Amravati",20.909244,77.749899,,
Dr. Sawdekar Hospital,hospital,"Vivekanand Colony, Amravati",20.927176,77.766819,,
The Face Hospital,hospital,"Rajkam to Rajapeth Road, At kuthe Stop, Near Raghuvir Sweet Mart, Amravati",20.9244335,77.7535881,,
Jeevan Jyoti Hospital,hospital,"Khaparde Bagicha, Maltekadi, Behind Irvin Hospital, Amravati",20.9302016,77.7617657,,
Umang Hospital,hospital,"Lane Number 3, Jalaram Nagar, Dastur Nagar, Amravati",20.9115458,77.7678912,,
Anudarshan Child Care and Vaccination Centre,hospital,"Jai Ambe Apartment Square, Morshi Road, Arjun Nagar, Amravati",20.958183,77.77897,,
Shubham Hi-Tech Hospital,hospital,"Opp Mantri Motors, Badnera Road, Amravati",20.9181409,77.752647,,
Kalode Hospital,hospital,"Maltekdi, Amravati",20.930775,77.766245,,
Dr. Bhushan's Hospital,hospital,"Shrikrishna Path, Praveen Nagar, Hazrat Bilal Nagar, Amravati",20.9530454,77.7496599,,
Bhojane Maternity & Nursing Home,hospital,"Sharda Nagar, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9220352,77.7548665,,
Dr. Arora Cancer Hospital,hospital,"Shankar Nagar Road, Gopal Nagar, Amravati",20.9137402,77.7572258,,
Navjivan Hospital,hospital,"Shanti Nagar, Kanwar Nagar, Guruchhaya Colony, Dastur Nagar, Amravati",20.9168888,77.770104,,
Dhanvantari Cooperative Hospital,hospital,"Sharda Vihar, Amravati",20.9124185,77.7519239,,
Adwani Maxillofacial Hospital,hospital,"Opp Manibai Gujrati High School, Amba Peth, Amravati",20.9264687,77.7546536,,
Dr. Avinash Choudhary Hospital,hospital,"Khaparde Bagicha Road, Khaparde Bagicha, Maltekdi, Amravati",20.9315475,77.761971,,
"District TB Hospital, Amravati",hospital,Maltekdi,20.9313664,77.7766579,,
Nanjivan Hospital (Dr. Govind Lahoti),hospital,Amravati,20.9340429,77.7711175,,
Irvin Hospital,hospital,"Khaparde Bagicha, Maltekdi, Amravati",20.9327335,77.760544,,
PanjabRao Deshmukh Medical College and Hospital,hospital,Amravati,20.9447679,77.772573,,
Gitarth Medicals,pharmacy,Amravati,20.9602901,77.778387,,
Red Cross Medical,pharmacy,Amravati,20.9487449,77.7639371,,
Shree Gyaneshwar Ayurveda Aushed Kendra,pharmacy,Amravati,20.9287543,77.758755,,
Shree Ram Medicals,pharmacy,Amravati,20.935749,77.7595775,,
Life care Medicals,pharmacy,Amravati,20.9312684,77.7560636,,
Global Pharma,pharmacy,Amravati,20.931574,77.756753,,
Sunder Medical Traders,pharmacy,Amravati,20.9306646,77.7557016,,
Raja Trader Pharmaceutical Distributors,pharmacy,Amravati,20.9307824,77.7554092,,
Ashok Medical,pharmacy,Amravati,20.9334501,77.7433067,,
Nilesh Medicals,pharmacy,Amravati,20.933886,77.7433952,,
Indrashesh Medicals,pharmacy,Amravati,20.9309056,77.7438888,,
Mauli Medical & General Stores,pharmacy,Amravati,20.929335,77.7430737,,
Sana Medical,pharmacy,Amravati,20.9533963,77.7387409,,
New Master Medicals,pharmacy,Amravati,20.939478,77.744786,,
Rarani Medical & General Stores,pharmacy,Amravati,20.9408283,77.7442978,,
IQRA MEDICAL STORE,pharmacy,Amravati,20.9451737,77.7403602,,
KGN Medical Stores,pharmacy,Amravati,20.9504691,77.7401081,,
Taj Medical & General Stores,pharmacy,Amravati,20.9510377,77.7394295,,
ALFALAH MEDICAL,pharmacy,Amravati,20.9461707,77.7351433,,
Aisha Medicals,pharmacy,Amravati,20.9433874,77.7267214,,
Shradha Medicals Pharmacy,pharmacy,Amravati,20.9247893,77.7621901,,
Laxmi Medicals,pharmacy,Amravati,20.9403178,77.7572252,,
Kaivalya Medicals,pharmacy,Amravati,20.9225132,77.748149,,
Bansal Medicals and General Stores,pharmacy,Amravati,20.9232122,77.7483502,,
Mangesh Medical And General,pharmacy,Amravati,20.9234878,77.7508393,,
Srushti Medical Stores,pharmacy,Amravati,20.926397,77.7746814,,
Sagar Medicals,pharmacy,"bhagat singh chowk, frajerpua, Frezerpura, Shyam Nagar, Amravati, Maharashtra 444606",20.923356,77.7716366,,
Rangoli Restaurant and Bar,restaurant,Amravati,20.9309184,77.7590281,,
Sarvesh Ice Cream & Juice Centre,restaurant,Amravati,20.926978,77.7695742,,
New Eagle,restaurant,Amravati,20.929564,77.7586229,,
Sahuji,restaurant,Amravati,20.929609,77.7584164,,
Ramgiris Amantran Sweets,restaurant,Amravati,20.9297075,77.7635795,,
Palekar Bakery Pvt,restaurant,Amravati,20.92972,77.7637351,,
Manmohan,restaurant,Amravati,20.9298653,77.7655643,,
Guri Mauli Melting Point,restaurant,Amravati,20.9301993,77.7685513,,
Yadav Bhel Bhandar,restaurant,Amravati,20.933077,77.7689515,,
Arabian Huts,restaurant,Amravati,20.9326292,77.7779499,,
Megataj Chicken,restaurant,Amravati,20.9314643,77.7794332,,
Datta Krupa,restaurant,Amravati,20.932258,77.79447,,
Taste Of Food,restaurant,Amravati,20.9430031,77.7965987,,
Highway Glory,restaurant,Amravati,20.9655858,77.7863579,,
Varhadi That,restaurant,Amravati,20.9666929,77.7864169,,
Gauri Inn,restaurant,Amravati,20.9661104,77.7868802,,
Deshmukh Lawn,restaurant,Amravati,20.9681455,77.7705836,,
Vinay Villa Lawn & Mangal Karyalaya,restaurant,Amravati,20.9657962,77.769736,,
Tuljabhawani Marriage Hall,restaurant,Amravati,20.9648595,77.7692317,,
Hotel Aaditya,restaurant,Amravati,20.9629033,77.7829511,,
Manbhari,restaurant,Amravati,20.9521465,77.7620381,,
Madhu Refreshment,restaurant,Amravati,20.9566051,77.7649241,,
Annaji Cafe,restaurant,Amravati,20.9563446,77.7647927,,
Mohini's Food Square,restaurant,Amravati,20.9519737,77.7619415,,
The Pizza Express,restaurant,Amravati,20.9510694,77.7623439,,
Food Inn's Sandwitch & Coffee Bar,restaurant,Amravati,20.9505534,77.7626872,,
Suraj Refreshment,restaurant,Amravati,20.9463201,77.7656108,,
Student Hub,restaurant,Amravati,20.9465255,77.7652889,,
Baba Anda Centre : The Egg Cuisine,restaurant,Amravati,20.9460346,77.7654043,,
SVM Pav-Bhaji Center,restaurant,Amravati,20.9455185,77.7660078,,
Roshni,restaurant,Amravati,20.9441564,77.7704466,,
Hotel Delhi Darbar,restaurant,Amravati,20.9379515,77.7765686,,
Maher Gruh Udyog,restaurant,Amravati,20.9380742,77.7796183,,
Garden Glory,restaurant,Amravati,20.9383097,77.7812142,,
Go Pizza,restaurant,Amravati,20.93847,77.7818338,,
Hotel Purwa,restaurant,Amravati,20.9391459,77.7854543,,
President Restaurant and Bar,restaurant,Amravati,20.9390582,77.7853872,,
Rampart Camp Beautifull Garden,restaurant,Amravati,20.9424689,77.7663016,,
Baba Refreshment Corner,restaurant,Amravati,20.9417149,77.7687049,,
Chirayu's Cafe Creme,restaurant,Amravati,20.9391873,77.7672028,,
Mathura Pure Veg,restaurant,Amravati,20.9338088,77.7606663,,
Craze Bar and Restaurant,restaurant,Amravati,20.9336235,77.7586573,,
Surya Restaurant & Bar,restaurant,Amravati,20.933651,77.7571848,,
Tamanna Chat Bhandar,restaurant,Amravati,20.930026,77.7551972,,
Shiv Shakti Ice Cream,restaurant,Amravati,20.9302804,77.7511631,,
Praveen Bajaranglalji Agrawal,restaurant,Amravati,20.9311572,77.7497764,,
Anil Savaji,restaurant,Amravati,20.9308892,77.7503048,,
Shree Sudama Family Reasturant,restaurant,Amravati,20.9307915,77.7519972,,
Rukmini Vallabh Zunaka Centre,restaurant,Amravati,20.9309343,77.7531989,,
New Sanman,restaurant,Amravati,20.9314333,77.7521277,,
Jabbar Non Veg Resturant,restaurant,Amravati,20.9317389,77.7526561,,
Gujrat Kanti Bhuvan,restaurant,Amravati,20.9316688,77.7530048,,
Sukh Sagar,restaurant,Amravati,20.9304287,77.7542762,,
Tadka,restaurant,Amravati,20.9284664,77.7615596,,
Sai Kripa Refreshment,restaurant,Amravati,20.9313961,77.7560905,,
Ravi Sweet Corner,restaurant,Amravati,20.9322529,77.7562434,,
Mamaji's Pure Veg,restaurant,Amravati,20.9305419,77.7554628,,
Tirupati Refreshment,restaurant,Amravati,20.9324378,77.7550487,,
Jai-Bhole Dabeli,restaurant,Amravati,20.9321322,77.7550004,,
Arun Tea Stall & Pan Shop,restaurant,Amravati,20.9317639,77.7551211,,
Mathura Puri Wala,restaurant,Amravati,20.9321497,77.7521868,,
Hotel Abdullah,restaurant,Amravati,20.932553,77.7510281,,
Ismail Restaurant& lodge,restaurant,Amravati,20.9325706,77.7503951,,
Upadhyay Sweets,restaurant,Amravati,20.9349945,77.7527051,,
Vrindavan Mithaiyan,restaurant,Amravati,20.9329653,77.7507632,,
Hotel Irshad Kureshi,restaurant,Amravati,20.9331306,77.7502187,,
Khushbu Ice Cream Parlour,restaurant,Amravati,20.9333876,77.7455625,,
Krushnai Corne,restaurant,Old ByPass,20.912174,77.7708894,,
Sahu Chat Corner,restaurant,Amravati,20.9272286,77.7560043,,
Top N Town Ice Cream Parlour,restaurant,Amravati,20.9284453,77.7537959,,
Golden Bakers,restaurant,Amravati,20.928427,77.7546426,,
Jumboking burger,restaurant,Amravati,20.9281593,77.7534376,,
Maa Jai Durga Restaurants And Cafe,restaurant,Amravati,20.9280589,77.7534409,,
Palekar Bakery,restaurant,Amravati,20.9281928,77.7541248,,
Center Point,restaurant,Amravati,20.9266068,77.7533546,,
Swadishta Bhojanalai,restaurant,Amravati,20.9288766,77.7497524,,
Shri Gajanan Refreshment,restaurant,Amravati,20.9286035,77.749672,,
Sahil Savji,restaurant,Amravati,20.9277292,77.7499992,,
Om Sweet Mart,restaurant,Amravati,20.9285709,77.7478668,,
Green Valley,restaurant,Amravati,20.9742951,77.7553601,,
Hotel Shall Restaurant & Bar,restaurant,Amravati,20.9597109,77.7537729,,
Ice Cream Parlor,restaurant,Amravati,20.9602669,77.7526249,,
Krishna Chinese Center,restaurant,Amravati,20.9604322,77.7528743,,
Vaishali Rajpurohit Sweet Mart,restaurant,Amravati,20.9605775,77.7528341,,
Hotel Khushi Restaurant and Bar,restaurant,Amravati,20.9691509,77.7422823,,
New Sawji,restaurant,Amravati,20.9685473,77.7418451,,
Kshitij Palace Lounge,restaurant,Amravati,20.9705259,77.7398415,,
Rajput,restaurant,Amravati,20.9714701,77.7402331,,
Khana Khazana,restaurant,Amravati,20.9729428,77.7404584,,
Krishna Ice Cream Parlour,restaurant,Amravati,20.9685804,77.7560059,,
Coffee Day Square,restaurant,Amravati,20.9706388,77.756479,,
Punjabi Dhabha & Restaurant 4.8·6 reviews,restaurant,Amravati,20.9191289,77.7588735,,
Hotel Lucky Almeera,restaurant,Amravati,20.951728,77.7391218,,
Hotel Noor,restaurant,Amravati,20.9518282,77.7391003,,
hotel meraj,restaurant,Amravati,20.9482723,77.7407813,,
Al Falah,restaurant,Amravati,20.9482397,77.7397594,,
kalpadeep mangal karyalaya,restaurant,Amravati,20.948883,77.7256064,,
Huzefa soda pab,restaurant,Amravati,20.9443773,77.7247436,,
Guru Namkeen,restaurant,Amravati,20.9305033,77.7448829,,
Spice King,restaurant,Amravati,20.9413886,77.7656901,,
Kastkar Food Plaza,restaurant,Amravati,20.9452237,77.7702337,,
Shri Krishna Bhojnalaya,restaurant,Amravati,20.9443044,77.7700057,,
Hotel Sairat,restaurant,Amravati,20.9459502,77.7719664,,
Aasra Refreshment And Juices,restaurant,Amravati,20.9457598,77.7718001,,
Sarju Bhojnalaya,restaurant,Amravati,20.9476901,77.7713781,,
Hotel Desi Tadka,restaurant,Amravati,20.9529243,77.7607061,,
Canteen,restaurant,Amravati,20.9578799,77.758154,,
Harpal Daal Pakwan & Chat Bhandar,restaurant,Amravati,20.9433666,77.7620325,,
Street Chinese Vagons,restaurant,"Vivekanand Colony, Amravati, Maharashtra 444606",20.9244304,77.7655369,,
Savji Daba,restaurant,Amravati,20.9465905,77.758433,,
Thakur Chat Bhandar,restaurant,Amravati,20.9421534,77.7599793,,
Red N Hot,restaurant,Amravati,20.9406978,77.7592223,,
Sri Lakshmi Agencies,restaurant,Amravati,20.9403665,77.7585381,,
Flavourz,restaurant,Amravati,20.9400174,77.7578317,,
Tirupati Icecream Parlour & Fast Food,restaurant,Amravati,20.941636,77.757515,,
Amigos Toit,restaurant,Amravati,20.9195206,77.7580508,,
Amigo Food,restaurant,Amravati,20.9162647,77.7585343,,
Jai Guru Ice Cream N Coldrink(Tnt),restaurant,Amravati,20.9163971,77.7597791,,
Joshi's Kitchen,restaurant,Amravati,20.9158848,77.7547046,,
jai bhole gupchup kulfi,restaurant,Amravati,20.9134154,77.7579212,,
Sai Chines Center,restaurant,Amravati,20.9230368,77.7483341,,
Sai Chines Corner,restaurant,Amravati,20.9233775,77.7486211,,
Bikaneri Swad Mithaiya,restaurant,Amravati,20.9218392,77.7482134,,
Palika Restaurant & Bar,restaurant,Amravati,20.9253167,77.7532345,,
Radha Chat Bhandar,restaurant,Amravati,20.9244724,77.7532211,,
Dinshaw's,restaurant,Amravati,20.9239613,77.7532184,,
Raghuvir Refreshment,restaurant,Amravati,20.9240139,77.7535805,,
Milan,restaurant,Amravati,20.9242694,77.7535751,,
Sawaliya Chaat Center,restaurant,Amravati,20.9218418,77.7541974,,
Shree Ram Chat Bhandar,restaurant,Amravati,20.9206868,77.7545729,,
Rehansh Doodh Dairy Sweet Mart,restaurant,Amravati,20.8948996,77.7359969,,
JAY HANUMAN PLAY STATION & CYBER CAFE,restaurant,Amravati,20.8938547,77.7388212,,
The canteen,restaurant,Amravati,20.894624,77.7438611,,
Nayan Gola Shop,restaurant,Amravati,20.8893867,77.7457709,,
Apsara Restaurant & Bar,restaurant,Amravati,20.895335,77.7472256,,
